file,sentId,eId,eiId,eText,normalization,CT_plus,CT_minus,PR_plus,PR_minus,PS_plus,PS_minus,Uu
ABC19980108.1830.0711.tml,2,e4,ei378,helping,the financial assistance from the World Bank and the International Monetary Fund are helping,0,9,0,1,0,0,0
ABC19980108.1830.0711.tml,15,e30,ei398,break,Wong Kwan will break even,0,0,0,5,0,1,4
ABC19980108.1830.0711.tml,18,e34,ei401,find,Pak can find buyers,0,9,0,0,0,0,1
ABC19980108.1830.0711.tml,23,e46,ei412,spending,people are spending in Asia,0,7,0,1,0,0,2
ABC19980108.1830.0711.tml,29,e54,ei419,layoffs,there will be layoffs,1,0,3,0,6,0,0
ABC19980114.1830.0611.tml,4,e236,ei277,hint,there was no hint of trouble in the last conversation,10,0,0,0,0,0,0
ABC19980114.1830.0611.tml,12,e61,ei267,response,there is a response,2,8,0,0,0,0,0
ABC19980114.1830.0611.tml,16,e235,ei275,contact,controllers could contact the plane,0,10,0,0,0,0,0
ABC19980120.1830.0957.tml,12,e100,ei438,able,"Castro will be able to say to the rest of the world, this government is not as closed, as intolerant, as totalitarian as some make it out to be",5,0,2,0,0,0,3
ABC19980120.1830.0957.tml,13,e107,ei446,relationship,there will be a more productive relationship between Cuba and the world,0,0,0,0,8,0,2
ABC19980120.1830.0957.tml,15,e52,ei450,battle,there will be a battle,0,1,0,7,0,0,2
ABC19980120.1830.0957.tml,15,e53,ei451,disappointed,the observers will be disappointed,0,0,9,0,1,0,0
ABC19980120.1830.0957.tml,19,e64,ei459,persuade,the Pope's visit will persuade a great many more Cubans to break loose of the Cuban government,0,0,0,1,9,0,0
ABC19980120.1830.0957.tml,19,e66,ei460,break,many more Cubans will break loose of the Cuban government,1,0,0,0,5,0,4
ABC19980304.1830.1636.tml,7,e254,ei289,in,a woman had been in charge,1,9,0,0,0,0,0
ABC19980304.1830.1636.tml,15,e24,ei280,hurried,someone hurried her up,2,8,0,0,0,0,0
ABC19980304.1830.1636.tml,16,e25,ei281,held,someone held her back,1,9,0,0,0,0,0
AP900815-0044.tml,3,e10,ei1524,release,Saddam Hussein will release soldiers captured during the Iran-Iraq war,1,0,4,0,3,0,2
AP900815-0044.tml,12,e61,ei1558,read,a letter was read,10,0,0,0,0,0,0
